b1.cell_1001 G1
b1.cell_1002 G1
b1.cell_1003 G1
b1.cell_1004 G1
b1.cell_1005 G2M
b1.cell_1006 S
b1.cell_1007 G2M
b1.cell_1008 G1
b1.cell_1009 G1
b1.cell_1010 G1
b1.cell_1011 G1
b1.cell_1012 G1
b1.cell_1013 G2M
b1.cell_1014 G1
b1.cell_1015 G2M
b1.cell_1016 G1
b1.cell_1017 G2M
b1.cell_1018 G2M
b1.cell_1019 G1
b1.cell_1021 S
b1.cell_1022 S
b1.cell_1023 G1
b1.cell_1024 G1
b1.cell_1025 G1
b1.cell_1026 G1
b1.cell_1027 G1
b1.cell_1028 G2M
b1.cell_1029 G2M
b1.cell_1030 G2M
b1.cell_1031 G1
b1.cell_1032 S
b1.cell_1033 G2M
b1.cell_1034 G1
b1.cell_1035 G2M
b1.cell_1036 G2M
b1.cell_1037 G2M
b1.cell_1038 G1
b1.cell_1039 S
b1.cell_1040 G1
b2.20298_6.3 G2M
b2.20298_6.4 G2M
b2.20298_6.5 S
b2.20298_6.9 G2M
b2.20298_6.15 G2M
b2.20298_6.16 G2M
b2.20298_6.17 G2M
b2.20298_6.18 S
b2.20298_6.19 G1
b2.20298_6.20 G2M
b2.20298_6.21 G1
b2.20298_6.22 G2M
b2.20298_6.23 G2M
b2.20298_6.24 G2M
b2.20298_6.39 G2M
b2.20298_6.40 G2M
b2.20298_6.41 G2M
b2.20298_6.43 G2M
b2.20298_6.44 G2M
b2.20298_6.45 S
b2.20298_6.46 S
b2.20298_6.47 G2M
b2.20298_6.48 S
b2.20298_6.65 G2M
b2.20298_6.66 G2M
b2.20298_6.67 S
b2.20298_6.68 G2M
b2.20298_6.69 G2M
b2.20298_6.70 G2M
b2.20298_6.71 G2M
b2.20298_6.72 S
b2.20298_6.74 S
b2.20298_6.81 G2M
b2.20298_6.83 G2M
b2.20298_6.84 G2M
b2.20298_6.86 S
b2.20298_6.87 G2M
b2.20298_6.88 G2M
b2.20298_6.89 S
b2.20298_6.90 G1
b2.20298_6.91 G2M
b2.20298_6.92 S
b2.20298_6.93 S
b2.20298_6.94 S
b2.20298_6.95 S
b2.20298_6.96 G2M
b2.20298_6.114 S
b2.20298_6.115 S
b2.20298_6.116 G1
b2.20298_6.117 G2M
b2.20298_6.118 S
b2.20298_6.119 G2M
b2.20298_6.120 G2M
b2.20298_6.123 S
b2.20298_6.124 G2M
b2.20298_6.128 G2M
b2.20298_6.132 G2M
b2.20298_6.134 G1
b2.20298_6.135 G1
b2.20298_6.136 G2M
b2.20298_6.137 S
b2.20298_6.138 G2M
b2.20298_6.139 G2M
b2.20298_6.140 S
b2.20298_6.141 G2M
b2.20298_6.142 G2M
b2.20298_6.143 S
b2.20298_6.144 S
b2.20298_6.158 S
b2.20298_6.159 S
b2.20298_6.161 G2M
b2.20298_6.162 G1
b2.20298_6.163 G2M
b2.20298_6.164 G1
b2.20298_6.165 S
b2.20298_6.166 G2M
b2.20298_6.167 S
b2.20298_6.168 S
b2.20298_6.170 G2M
b2.20298_6.172 G2M
b2.20298_6.175 G2M
b2.20298_6.177 G2M
b2.20298_6.178 G2M
b2.20298_6.182 G2M
b2.20298_6.183 G2M
b2.20298_6.184 G2M
b2.20298_6.185 S
b2.20298_6.186 S
b2.20298_6.187 G2M
b2.20298_6.188 G1
b2.20298_6.189 G2M
b2.20298_6.190 S
b2.20298_6.191 G2M
b2.20298_6.192 G1
b2.20298_6.206 G2M
b2.20298_6.208 G2M
b2.20298_6.209 G2M
b2.20298_6.210 G2M
b2.20298_6.211 G2M
b2.20298_6.212 G2M
b2.20298_6.213 S
b2.20298_6.214 G2M
b2.20298_6.215 S
b2.20298_6.216 G1
b2.20298_6.229 G2M
b2.20298_6.231 S
b2.20298_6.233 S
b2.20298_6.234 S
b2.20298_6.235 S
b2.20298_6.236 G1
b2.20298_6.237 G2M
b2.20298_6.238 G1
b2.20298_6.239 G1
b2.20298_6.240 G1
b2.20298_6.256 G2M
b2.20298_6.261 G2M
b2.20298_6.262 G2M
b2.20298_6.263 G2M
b2.20298_6.264 S
b2.20298_6.286 G1
b2.20298_6.287 G2M
b2.20298_6.288 S
b2.20298_6.302 G2M
b2.20298_6.304 G2M
b2.20298_6.305 G2M
b2.20298_6.306 G1
b2.20298_6.307 S
b2.20298_6.308 G1
b2.20298_6.309 G2M
b2.20298_6.310 G2M
b2.20298_6.311 G2M
b2.20298_6.312 S
b2.20298_6.314 G2M
b2.20298_6.327 S
b2.20298_6.328 G1
b2.20298_6.329 S
b2.20298_6.330 S
b2.20298_6.331 G2M
b2.20298_6.332 G2M
b2.20298_6.333 G2M
b2.20298_6.334 S
b2.20298_6.335 G2M
b2.20298_6.336 G1
b2.20298_6.339 G2M
b2.20298_6.352 S
b2.20298_6.353 G2M
b2.20298_6.354 S
b2.20298_6.355 S
b2.20298_6.356 G2M
b2.20298_6.357 G1
b2.20298_6.358 G2M
b2.20298_6.359 G2M
b2.20298_6.360 S
b2.20298_6.373 G1
b2.20298_6.375 S
b2.20298_6.376 G2M
b2.20298_6.377 G2M
b2.20298_6.379 G2M
b2.20298_6.380 S
b2.20298_7.3 G2M
b2.20298_7.4 G1
b2.20298_7.6 G2M
b2.20298_7.7 G2M
b2.20298_7.8 G2M
b2.20298_7.10 G1
b2.20298_7.11 S
b2.20298_7.12 G1
b2.20298_7.13 G1
b2.20298_7.14 G2M
b2.20298_7.15 G2M
b2.20298_7.16 G1
b2.20298_7.17 G2M
b2.20298_7.18 G1
b2.20298_7.19 S
b2.20298_7.20 S
b2.20298_7.21 G1
b2.20298_7.22 G2M
b2.20298_7.23 G2M
b2.20298_7.24 G1
b2.20298_7.26 G1
b2.20298_7.27 G2M
b2.20298_7.28 G2M
b2.20298_7.30 G2M
b2.20298_7.35 S
b2.20298_7.36 S
b2.20298_7.37 G2M
b2.20298_7.38 G2M
b2.20298_7.39 S
b2.20298_7.40 G2M
b2.20298_7.41 G2M
b2.20298_7.42 G2M
b2.20298_7.43 S
b2.20298_7.44 S
b2.20298_7.45 S
b2.20298_7.46 G2M
b2.20298_7.47 G1
b2.20298_7.48 G1
b2.20298_7.58 G2M
b2.20298_7.64 G2M
b2.20298_7.66 G2M
b2.20298_7.68 S
b2.20298_7.69 G1
b2.20298_7.70 G2M
b2.20298_7.71 S
b2.20298_7.72 G2M
b2.20298_7.73 G2M
b2.20298_7.76 S
b2.20298_7.77 G2M
b2.20298_7.78 S
b2.20298_7.79 G2M
b2.20298_7.80 G2M
b2.20298_7.88 G2M
b2.20298_7.90 G2M
b2.20298_7.91 G1
b2.20298_7.92 G1
b2.20298_7.93 G1
b2.20298_7.94 G2M
b2.20298_7.95 S
b2.20298_7.96 S
b2.20298_7.115 S
b2.20298_7.116 G2M
b2.20298_7.117 G2M
b2.20298_7.118 G2M
b2.20298_7.119 G2M
b2.20298_7.120 G2M
b2.20298_7.122 G2M
b2.20298_7.136 G2M
b2.20298_7.137 G2M
b2.20298_7.138 G2M
b2.20298_7.139 G2M
b2.20298_7.140 G1
b2.20298_7.141 S
b2.20298_7.142 G1
b2.20298_7.143 G2M
b2.20298_7.144 G1
b2.20298_7.164 G2M
b2.20298_7.165 G2M
b2.20298_7.167 G2M
b2.20298_7.168 S
b2.20298_7.187 G1
b2.20298_7.188 S
b2.20298_7.189 G2M
b2.20298_7.190 G2M
b2.20298_7.191 G2M
b2.20298_7.192 G2M
b2.20298_7.213 G2M
b2.20298_7.214 G1
b2.20298_7.215 S
b2.20298_7.216 G2M
b2.20298_7.217 G2M
b2.20298_7.218 G1
b2.20298_7.220 G2M
b2.20298_7.222 G2M
b2.20298_7.226 G2M
b2.20298_7.229 S
b2.20298_7.233 G2M
b2.20298_7.234 S
b2.20298_7.235 G2M
b2.20298_7.236 S
b2.20298_7.237 G2M
b2.20298_7.238 G1
b2.20298_7.239 G2M
b2.20298_7.240 S
b2.20298_7.259 S
b2.20298_7.260 G2M
b2.20298_7.261 G1
b2.20298_7.262 G2M
b2.20298_7.263 G1
b2.20298_7.264 S
b2.20298_7.286 S
b2.20298_7.287 S
b2.20298_7.288 G2M
b2.20298_7.306 G1
b2.20298_7.309 G2M
b2.20298_7.310 S
b2.20298_7.311 G2M
b2.20298_7.312 G1
b2.20298_7.330 G2M
b2.20298_7.331 G2M
b2.20298_7.332 G1
b2.20298_7.333 S
b2.20298_7.334 G2M
